BL040126	BL040223	BL040322	BL040419	BL040525	BL040628	BL040719	BL040831	BL040929	BL041019	BL041116	BL041214	BL050120	BL050215	BL050309	BL050413	BL050510	BL050607	BL050705	BL050803	BL050913	BL051004	BL051108	BL051213	BL060111	BL060207	BL060307	BL060404	BL060516	BL060613	BL060704	BL060801	BL060912	BL061010	BL061107	BL061211	BL070116	BL070220	BL070320	BL070424	BL070515	BL070605	BL070703	BL070801	BL070912	BL071016	BL071113	BL071211	BL080115	BL080212	BL080311	BL080408	BL080507	BL080602	BL080702	BL080805	BL080902	BL081014	BL081113	BL081211	BL090113	BL090210	BL090317	BL090421	BL090512	BL090609	BL090721	BL090804	BL090915	BL091006	BL091105	BL091222	BL100120	BL100217	BL100322	BL100412	BL100525	BL100622	BL100706	BL100803	BL100914	BL101019	BL101116	BL101214	BL110112	BL110208	BL110314	BL110412	BL110517	BL110615	BL110704	BL110802	BL110913	BL111010	BL111129	BL111219	BL120110	BL120214	BL120313	BL120411	BL120518	BL120620	BL120703	BL120807	BL120913	BL121009	BL121106	BL121211	BL130115	BL130206	BL130312	BL130417	BL130507	BL130604	BL130709	BL130801	BL130917	BL131015	BL131105	BL131204
bp_ASV_000073	58	30	23	8	0	3	0	0	0	4	27	62	42	132	2	0	0	0	0	0	53	24	21	80	61	21	28	9	0	0	0	0	0	0	0	28	26	6	12	1	0	0	0	0	0	0	42	114	45	25	14	22	0	0	0	0	0	1	85	94	36	32	21	4	0	0	0	0	0	0	25	70	63	72	15	16	0	0	0	0	0	47	67	41	9	74	23	6	0	0	0	0	0	0	19	49	17	19	0	5	0	0	0	0	0	0	49	61	22	17	29	0	2	0	0	0	0	0	19	30
en_ASV_00103	25	10	28	20	8	2	13	0	20	32	272	674	84	25	16	0	0	0	0	0	469	103	87	99	87	12	59	0	0	0	0	39	0	31	54	536	14	28	0	0	0	0	0	0	0	33	87	27	87	22	18	0	18	0	0	0	0	14	96	96	242	0	0	0	0	0	96	33	11	30	72	170	73	20	0	0	4	0	48	10	19	35	106	116	93	48	16	9	2	0	38	11	22	23	118	107	71	85	24	15	1	0	8	0	0	0	121	99	72	109	37	24	0	0	0	0	117	32	225	292
bn_ASV_000088	45	38	21	8	0	0	0	0	0	17	20	14	40	29	21	4	0	0	0	0	0	10	28	97	40	7	12	3	0	0	0	0	0	7	21	38	56	27	27	0	4	3	2	8	2	9	8	37	29	92	21	12	0	4	0	6	6	6	13	22	7	17	5	5	0	5	0	0	0	0	31	18	11	15	7	1	0	1	0	3	1	3	19	20	22	45	9	3	3	0	0	2	3	10	19	24	14	57	13	3	5	2	0	4	6	11	12	50	44	68	18	0	6	0	0	0	0	0	21	26
bp_ASV_000244	0	9	0	0	0	0	0	0	0	2	6	17	15	33	0	0	0	0	0	0	14	0	4	12	7	4	4	0	0	0	0	0	0	0	0	17	13	10	0	0	0	0	0	0	0	0	9	12	25	10	7	0	0	0	0	0	0	6	8	0	10	12	4	0	0	0	0	0	0	0	6	8	0	19	5	0	0	0	0	0	0	14	12	33	14	10	7	0	0	0	0	0	0	3	6	15	21	14	0	1	0	0	0	0	1	3	7	10	21	27	11	0	0	0	0	0	0	4	16	5
bn_ASV_000252	16	0	14	0	0	0	0	0	0	0	0	20	0	20	14	0	0	0	0	0	0	0	0	80	33	21	13	0	0	0	0	0	0	0	19	37	80	19	7	0	0	0	0	0	0	8	6	10	25	21	13	0	0	0	0	0	0	0	4	23	7	5	3	0	0	0	0	0	0	0	7	8	5	0	9	0	0	0	0	0	0	2	12	10	9	9	9	0	0	0	0	0	0	1	11	8	9	9	21	0	0	0	0	0	0	0	18	10	14	10	14	0	0	0	0	0	0	0	15	33
bp_ASV_000088	45	23	12	6	0	0	0	0	2	2	28	34	30	46	19	0	0	2	0	0	46	8	13	48	48	18	27	0	0	0	0	0	10	4	0	24	40	24	18	0	0	0	1	0	0	0	17	29	35	32	13	17	0	1	1	9	0	11	15	0	11	15	8	11	0	0	0	0	0	0	17	31	35	45	10	5	6	0	0	0	18	25	53	73	20	27	21	3	0	0	0	7	9	0	35	26	37	29	0	1	0	0	0	0	4	10	19	28	45	65	14	3	4	0	0	0	12	5	28	30
bn_ASV_000073	57	32	22	9	0	0	0	0	0	2	64	25	44	31	30	20	2	0	0	0	0	0	16	127	67	26	28	22	0	0	0	0	0	0	42	47	56	13	12	3	0	0	0	0	0	0	30	98	30	12	12	13	4	0	0	0	0	0	42	74	26	40	18	0	0	0	0	0	0	0	21	43	24	28	14	0	3	0	0	0	0	0	20	46	25	20	14	1	1	0	0	0	0	0	30	50	18	24	9	1	0	0	0	0	0	0	36	30	0	20	4	0	0	0	0	0	0	0	15	19
bp_ASV_000279	0	9	3	0	0	0	0	0	0	0	8	37	19	0	0	0	0	0	0	0	0	0	4	50	38	6	6	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	13	14	17	0	0	0	0	0	0	0	0	0	35	18	48	4	0	0	0	0	0	0	0	0	16	37	45	26	13	0	0	0	0	0	0	0	12	6	7	12	3	0	0	0	0	0	0	0	9	11	12	10	0	0	0	0	0	0	0	0	7	8	5	0	3	1	0	0	0	0	0	0	2	24
bn_ASV_000193	23	5	13	3	0	0	0	0	0	0	0	12	27	11	27	0	0	0	0	0	0	0	11	0	24	16	7	0	0	0	0	0	0	0	8	16	6	14	0	0	0	0	0	0	0	0	14	8	19	15	4	3	0	0	0	0	0	0	9	28	25	10	4	2	0	0	0	0	0	0	5	14	17	20	2	0	0	0	0	0	0	0	11	26	24	10	4	1	0	0	0	0	0	0	4	10	22	4	6	1	0	0	0	0	0	0	13	12	2	5	1	0	0	0	0	0	0	0	3	11
bp_ASV_000193	12	6	4	0	0	0	0	0	0	1	25	24	24	49	0	0	0	0	0	0	28	0	7	30	30	16	41	0	0	0	0	0	0	2	0	13	13	14	3	0	0	0	0	0	0	0	13	20	41	16	6	0	0	0	0	0	0	0	11	8	47	6	2	0	0	0	0	0	0	0	0	21	45	18	8	0	2	0	0	0	0	0	19	30	8	19	8	0	0	0	0	0	0	0	9	8	22	34	1	1	0	0	0	0	0	0	15	18	21	15	8	3	0	0	0	0	0	0	3	23
