BL040126	BL040223	BL040322	BL040419	BL040525	BL040628	BL040719	BL040831	BL040929	BL041019	BL041116	BL041214	BL050120	BL050215	BL050309	BL050413	BL050510	BL050607	BL050705	BL050803	BL050913	BL051004	BL051108	BL051213	BL060111	BL060207	BL060307	BL060404	BL060516	BL060613	BL060704	BL060801	BL060912	BL061010	BL061107	BL061211	BL070116	BL070220	BL070320	BL070424	BL070515	BL070605	BL070703	BL070801	BL070912	BL071016	BL071113	BL071211	BL080115	BL080212	BL080311	BL080408	BL080507	BL080602	BL080702	BL080805	BL080902	BL081014	BL081113	BL081211	BL090113	BL090210	BL090317	BL090421	BL090512	BL090609	BL090721	BL090804	BL090915	BL091006	BL091105	BL091222	BL100120	BL100217	BL100322	BL100412	BL100525	BL100622	BL100706	BL100803	BL100914	BL101019	BL101116	BL101214	BL110112	BL110208	BL110314	BL110412	BL110517	BL110615	BL110704	BL110802	BL110913	BL111010	BL111129	BL111219	BL120110	BL120214	BL120313	BL120411	BL120518	BL120620	BL120703	BL120807	BL120913	BL121009	BL121106	BL121211	BL130115	BL130206	BL130312	BL130417	BL130507	BL130604	BL130709	BL130801	BL130917	BL131015	BL131105	BL131204
ENV_Temp	14	12.9	12.9	12.6	17	21.1	24	24.5	21.3	19.2	16	14.5	13	12.1	12.4	13	16	19.6	24	24	26.1	21.5	17.9	13.9	12.6	12	13	13.5	18.4	22.4	23.7	25.6	24.6	20.3	18.3	16.5	15.6	13.4	13.5	16	17.5	18.8	21.9	24.4	26.2	21	16.1	14	13.1	12.9	13.5	13.2	16.7	17.6	21.3	24.3	24.2	21.1	16.1	14.1	12.7	12.2	12.4	12.7	15.2	16.5	20.9	21.1	20.4	17.6	17.3	13.8	12.9	12.3	11.9	13.7	15.2	19.2	23.1	24.1	24.4	17.6	15.8	14.5	12.9	12.4	12.3	14.95	17.6	21	22.4	22.9	23	20.6	16.8	15.5	14.4	12.2	13.2	13.8	16.8	20.1	22	25.4	22.5	18.3	16.7	14.3	13.3	12.8	12.8	14.5	15	16.9	21.6	23.6	23.4	21.4	18.1	14.4
ENV_SECCHI	14	7	12	6	9	14	24	17	15	12	11	15.5	19	13	20	18	12.5	22	22	20	19	17	12	15	14	15	12.5	16	10	12	15	18	16.5	15	18	17	19.5	18	17	20	23	19	17	15	18	19	11	17	11	10.5	10	16	13	10	15	24	15	8	13.5	14	14	12	15	15.5	12	13	18	20	18	16	20	8	16	10	12.5	15	8	15	10	15	22	11	8	18	12.5	13.5	8.5	16	18	13.5	16	15	19	14	8.5	14	14	15	18.5	16	16	16	16	20	19	18	8	13	17	12	9	11	19	20	14	17	20	20	18	8.5
ENV_SAL_CTD	37.9	37.2	37.2	35.9	37	36.9	36.9	37.2	37.7	37.5	36.8	37.2	37	37.7	37.9	37.7	37.6	38.1	37.35	36.6	35.85	35.1	37.1	37.8	38.3	37.3	36.3	37.1	37.1	35.6	37.7	38	37.7	37.7	38.1	39.1	38.2	38.2	38.2	37.8	37.2	37.8	37.7	38	38	37.9	38.2	38.3	38.3	38.3	38.3	38.3	38.2	37.1	37.6	38	38.1	38.2	38.2	38.1	38.1	38.1	38.2	38.2	37.8	38	38.1	38.2	38.1	38.1	38.2	38	37.9	37.9	37.7	37.8	37.6	37.5	37.7	37.8	38	37.9	38.2	38.2	38	37.8	37.8	37.76667	37.73333	37.7	37.8	37.8	37.95	38.1	37.2	38.1	38.1	38.2	38.3	38.2	38.2	38.2	38.1	38.1	38.2	37.9	38	38	38.1	38.2	38.1	37.9	37.7	37.6	37.9	37.8	38.1	38.1	38	38.1
ENV_CHL_total	1.1	1	1.1	1.4	0.7	0.4	0.4	0.55	0.7	0.3	0.7	0.4	0.5	1.3	0.7	2	1.1	0.4	0.1	0	0.3	0.6	0.8	0.6	0.6	0.5	1.5	1	2.5	0.4	0.2	0.4	0.2	0.3	0.5	0.7	0.6	0.5	1	0.5	0.2	0.2	0.1	0.2	0.2	0.2	0.7	0.7	0.6	1.1	1.9	0.5	0.7	0.9	0.2	0.2	0.2	0.3	0.3	0.3	0.4	0.8	1	1.2	0.5	0.3	0.2	0.3	0.3	0.7	0.8	1.1	1	1	1.3	0.5	0.9	0.6	0.4	0.4	0.3	0.8	0.5	0.5	0.8	1	1.1	0.5	0.5	0.5	0.2	0.6	0.3	0.4	2.9	0.9	0.7	0.7	0.7	1.2	0.4	0.8	0.3	0.2	0.2	0.3	0.5	0.5	0.9	0.7	1.1	0.5	0.8	0.3	0.5	0.2	0.3	0.3	0.4	0.6
ENV_PO4	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.4	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0	0.2	0.1	0.2	0.2	0.1	0.1	0.2	0.2	0.1	0.2	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0.1	0.1	0	0	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2
ENV_NH4	0.3	0.7	0.3	1.5	0.9	0.3	1	0.7	0.5	0.5	1	1.3	1.1	1.2	1.5	2.1	1.3	1	1.4	0.9	1.2	1.5	2.2	1	1	0.5	0.5	1.5	1.1	1.8	1.4	1.1	0.4	0.9	1.8	1.5	1.4	1.8	1.6	1.1	1.2	3	1.8	2.5	0.8	1.7	1.8	1.6	3.2	3.4	2.1	6.3	1	0.7	1	2.6	0.3	6.5	2.4	2.1	0.4	0.35	0.3	0.4	0.4	0.5	0.4	0.1	0.2	0.2	0.1	0.1	0.1	0.5	0.1	0.1	1.2	0.3	0.1	0.1	0.2	0.2	0.1	0.1	0.6	0.6	0.4	0.7	0	0.6	0	0.7	0.1	0	0.1	0	1.4	0.4	0.7	0.6	0.9	0.9	0.5	1.6	0.6	0.8	1.7	0.9	1.2	5.9	0.2	0.6	0.7	2	0.9	3.5	0.1	0.4	0.3	0.5
ENV_NO2	0.3	0.2	0.3	0.4	0.3	0.1	0.2	0.1	0.1	0.1	1	0.3	0.2	0.2	0.2	0.4	0.1	0.1	0.1	0	0	0.1	0.8	0.1	0.2	0.2	0.1	0.1	0.1	0.3	0.1	0	0.3	0	0.2	0.1	0.3	0.4	0.2	0.1	0.3	0.9	0.4	0.3	0.1	0	0.2	0.2	0.8	0.5	0.4	0.5	0.2	0.1	0.2	0.3	0	0.2	0.4	0.3	0.2	0.1	0	0	0	0	0	0	0	0	0.1	0.2	0.2	0.2	0.4	0.1	0.1	0.1	0	0.1	0	0.1	0.2	0.3	0.3	0.2	0.3	0.1	0	0.1	0	0	0	0	0.1	0.1	0.3	0.2	0.3	0.1	0.1	0	0.1	0	0	0	0.1	0.3	0.4	0.7	0.2	0.2	0.2	0.2	0.1	0.2	0.1	0.1	0.1	0.4
ENV_NO3	1.5	1.6	2.8	2.5	0.2	0.2	0.1	0.3	0.2	0.4	0.4	1.3	1.1	2.6	6.8	3.3	0.9	0.2	0.2	0.1	0.3	2.4	2.5	1.2	2.1	2.3	2	3.2	0.5	0.5	0.6	0.4	0.2	0.3	0.4	0.4	0.5	1.5	0.8	1	0.3	0.4	0.6	0.9	0.8	0.3	0.4	1	2.7	2.5	1.3	1.6	0.6	1.4	0.5	0.5	0.5	0.8	1.2	1.3	1.5	0.9	0.3	0.1	0.1	0.1	0.1	0.4	0.4	0.5	0.3	1.2	2.8	0	4.3	1.1	0.4	0.5	0.1	0.2	0.1	0.6	0.4	1.5	1.5	1.4	1.2	0.5	0.4	1	0.4	0.8	0.5	0.5	0.6	0.5	0.2	2.2	2.4	0.2	0.1	0	0.1	0.3	0.1	0	3.5	1.4	1.2	1.7	3.3	0.7	1.4	0.3	0.1	0.2	0.3	0.2	0.3	1.5
ENV_SI	1.8	0.8	2.5	6.1	3.3	2.2	1.4	1.3	1.4	1.4	1.8	2.5	2.6	2.9	7.1	3.4	1.5	1.3	1.8	1.5	1.3	1.6	1.8	1.9	2.7	2.4	1.8	0.9	0.1	0.4	0.1	0.5	0	0.2	0.9	0.3	0.5	1.2	0.2	0.1	0.2	0.1	0.2	0.4	0.4	0.1	0.6	1	2	1.8	1	1	0.4	0.3	0.6	0.6	0.8	1.1	1.5	1.2	2.5	2.3	2.1	0.5	0.7	1.5	0.6	1	1.2	1.2	1.4	1.6	1.9	2.5	2.4	1.8	1.6	0.8	0.3	0.8	0.6	1.3	0.9	1.5	2.1	2	2.5	1	0.7	1.9	0.4	1.8	0.9	1	0.3	0.9	1.2	2.5	2.5	1.7	0.5	0.5	0.5	0.8	1.1	0.9	2	2	1.6	1.5	2.5	1.4	1.5	1.3	0.5	0.5	0.7	0.8	0.8	1.9
ENV_BACTERIA	854356	700418	1156460	1046779	1117590	1874196	1654834	1685622	1243819	1083724	923628	715812	582655	952492	380997	788163	1610192	935943	1127596	803899	1250747	885144	1100657	691182	748524	502223	810099	1099118	1939619	1244333	928760	1607113	757375	1052936	883604	846659	500299	756221	1108354	721969	877813	1031385	1206874	951117	748524	652312	696570	769690	806635	563413	854356	883220	631146	818950	860129	952492	931325	1005215	663858	1000597	677327	792781	761993	955321	763533	1462411	1173008	883604	717351	1086803	917471	713888	668091	412554	808175	1391600	1160693	949285	764559	669630	838962	1233429	877447	796629	814332	600358	1227656	563413	940946	952492	833190	966731	1083724	855896	1120669	773539	649619	501838	577268	988282	606516	855896	817411	838962	729666	928246	963652	931325	892841	1059094	815872	1385442	939022	826134	592661	645000	1056015	937483	968270	968270
